Sigla	Nome	Estrato
AICT	Advanced International Conference on Telecommunications	B1
AIED	International Conference on Artificial Inteligence in Education	B1
AIED_A	Workshop on Motivation and Affect in Educational Software	B5
AIIDE	Artificial Inteligence and Interactive Digital Entertainment	B2
AIME	Conference on Artificial Inteligence in Medicine in Europe	B2
AiML	Advances in Modal Logic	B3
AIMS	Autonomous Infrastructure, Management and Security	B4
AIMSA	Artificial Inteligence: Methodology, Systems, Applications	B2
AINA	International Conference on Advanced Information Networking and Applications	A2
AIRS	Asia Information Retrieval Symposium	B3
AIS	SIGED International Conference on Informatics Education and Research	B5
AISAT	International Conference on Artificial Inteligence in Science and Technology	B5
AISC	International Conference on Artificial Inteligence and Symbolic Computing	B3
AISec	AI & Security Workshop	B4
AISM	Australian Information Security Management Conference	B4
ALAMAS	European Symposium on Adaptive Learning Agents and Multi-Agent Systems	B5
ALENEX	Workshop on Algorithm Engineering and Experiments	B1
ALG	Workshop on Algorithm Engineering	B1
AlgOR	International conference on Algorithmic Operations Research and Operations Research Case Competition	B4
ALGOSENSORS	Algorithmic Aspects of Wireless Sensor Networks	B3
ALIFE	IEEE Symposium on Artificial Life	B4
ALIFE_A	International Conference on the Simulation and Synthesis of Living Systems	B2
ALIO/EURO	Conference on Combinatorial Optimization	B5
ALPIT	International Conference on Advanced Language Processing and Web Information Technology	B4
ALT	International Conferences on Algorithmic Learning Theory	B1
ALTA	Australasian Language Technology Association Workshop	B4
AMAI	International Symposium on Artificial Inteligence and Mathematics	B3
AMAS-BT	Workshop on Architectural and Microarchitectural Support for Binary Translation	B5
AMAST	International Conference on Algebraic Methodology and Software Technology	B1
AMCIS	Americas Conference on Information Systems	B1
AMCS	International Conference on Algorithmic Mathematics and Computer Science	B5
AMIA	AMIA Annual Symposium	A2
AMINING	Active Mining	B4
AMS	Autonome Mobile Systeme	B4
AMSTA	Agent and Multi-Agent Systems: Technologies and Applications	B3
AMTA	Conference of the Association for Machine Translation in the Americas	B4
AMW	Alberto Mendelzon International Workshop on Foundations of Data Management	B4
ANALCO	Workshop on Analytic Algorithms and Combinatorics	B4
ANCS	Symposium On Architecture For Networking And Communications Systems	B1
ANDESCON	IEEE Andean Region International Conference	B4
ANIREM	Workshop on Agents Norms and Institutions for Regulated Multiagent Systems	B5
ANNPR	IAPR International Workshop on Artificial Neural Networks in Pattern	B4
ANPPOM	Congresso da Associação Nacional de Pesquisa e Pós-Graduação em Música	B5
ANSS	Annual Simulation Symposium	B1
ANTS	International Symposium on Algorithmic Number Theory	B1
ANTS_A	International Workshop on Ant Colony Optimization and Swarm Inteligence	B4
ANTS_C	International Symposium on Advanced Networks and Telecommunication Systems	B4
AOIS	Agent-Oriented Information Systems Workshop	B3
AOM	Aspect-Oriented Modeling Workshop	B2
AOSD	International Conference on Aspect-Oriented Software Development	A1
AOSE	Workshop on Agent-Oriented Software Engineering	B3
APCIP	Asia-Pacific Conference on Information Processing	B4
APEID	UNESCO-APEID International Conference	B5
APGV	Symposium on Applied Perception in Graphics and Visualization	B2
APLAS	Asian Symposium on Programming Languages and Systems	B1
APPROX	International Workshop on Approximation Algorithms for Combinatorial Optimization Problems	B1
APSCC	IEEE Asia-Pacific Services Computing Conference	B3
APTC	Asia-Pacific Trusted Infrastructure Technologies Conference	B5
APWEB	International Asia-Pacific Web Conference	B2
ARC	International Workshop on Applied Reconfigurable Computing	B3
ARCS	Architecture of Computing Systems	B2
ARES	International Conference on Availability: Reliability and Security	B1
ArgMas	International Workshop on Argumentation in Multi-Agent Systems	B4
ARM	Workshop on Adaptive and Reflective Middleware	B4
ArtAbilitation	The ArtAbilitation Conference	B5
ARVLSI	Conference on Advanced Research in VLSI	B4
ASAMA	International Symposium on Agent Systems and Applications / International Symposium on Mobile Agents	B1
ASAP	IEEE International Conference on Application-specific Systems: Architectures and Processors	B1
ASE	IEEE/ACM International Conference on Automated Software Engineering	A1
ASIACCS	ASIAN ACM Symposium on Information, Computer and Communications Security	B1
ASIACRYPT	International Conference on the Theory and Application of Cryptology and Information Security	A1
ASID	International Workshop on Anti-counterfeiting, Security and Identification	B4
ASIS&T	Annual Conference of the American Society for Information Science and Technology	B4
ASONAM	International Conference on Advances in Social Network Analysis and Mining	B4
ASP-DAC	Asia and South Pacific Design Automation Conference	A2
ASPLOS	International Conference on Architectural Support for Programming Languages and Operating Systems	A1
ASRU	IEEE Workshop on Automatic Speech Recognition & Understanding	B2
ASSETS	International ACM SIGACCESS Conference on Computers and Accessibility	A2
AST	Automation of Software Test	B3
ASYNC	Symposium on Asynchronous Circuits and Systems	A2
ATMOS	Workshop on Algorithmic Approaches for Transportation Modeling, Optimization, and Systems	B4
ATT	Workshop on Agents in Traffic and Transportation	B4
ATVA	Automated Technology for Verification and Analysis	B1
AUTOMATA	Celular Automata Theory and Applicatins	B4
AVBPA	International Conference on Audio- and Video-Based Biometric Person	A2
AVI	International Working Conference on Advanced Visual Interfaces	A2
AWIC	Atlantic Web Inteligence Conference	B2
BAIP	International Conference on Recent Trends in Business Administration and Information Processing	B4
BASYS	IEEE/IFIP International Conference on Information Technology for Balanced Automation Systems	B4
BC	IFIP International Conference on Broadband Communications	B4
BCB	ACM International Conference on Bioinformatics and Computational Biology	B4
BCS-HCI	Conference of the British Computer Society Human Computer Interaction Specialist Group	B4
BDIM	IEEE/IFIP International Workshop on Business-Driven IT Management	B4
BEA	Workshop on the Innovative Use of NLP for Building Educational Applications	B4
BIBE	IEEE International Symposium on Bioinformatics and Bioengineering	B1
BIBM	IEEE International Conference on Bioinformatics and Biomedicine	B4
BIBMW	IEEE International Conference on Bioinformatics and Biomedicine Workshop	B4
BICA	Annual International Conference on Biologically Inspired Cognitive Architectures	B4
BICS	Brain-Inspired Cognitive Systems Conference	B4
BIOCOMP	International Conference on Bioinformatics and Computational Biology	B4
BIODEVICES	International Conference on Biomedical Electronics and Devices	B4
BIOINFORMATICS	International Conference on Bioinformatics Models, Methods and Algorithms	B5
BIOSIGNALS	International Conference on Bio-inspired Systems and Signal Processing	B4
BIOTECHNO	International Conference on Bioinformatics, Biocomputational Systems and Biotechnologies	B5
BIR	International Conference on Perspectives in Business Informatics Research	B4
BIRTE	International Workshop on Business Inteligence for the Real Time Enterprise	B5
BIS	International Conference on Business Information Systems	B2
BLISS	Bio-inspired, Learning, and Inteligent Systems for Security	B4
BMEI	International Conference on BioMedical Engineering and Informatics	B4
BMVC	British Machine Vision Conference	A2
BNCOD	Workshops of the British National Conference on Databases	B2
BPM	International Conference in Business Process Management	A2
BPMDS	International Conference on Business Process Modeling, Development, and Support	B3
BPMN	International Workshop on Business Process Modeling Notation	B5
BPSC	Business Process and Services Computing	B4
Broadnets	International Conference on Broadband Communications Networks and Systems	B1
BSB	Brazilian Symposium on Bioinformatics	B4
BTAS	IEEE International Conference on Biometrics: Theory, Applications and Systems	B2
BUCC	Workshop on Building and Using Comparable Corpora	B5
BWSS	Brazilian Workshop on Social Simulation	B5
C&T	International Conference on Communities and Technologies	B5
C5	International Conference on Creating Connecting and Colaborating through Computing	B3
CADE	International Conference on Automated Deduction	A2
CAGD	International Symposium of Computer Aided Geometric Design	A2
CAIA	Conference on Artificial Inteligence for Applications	B5
CAINE	ISCA International Conference on Computer Applications in Industry and Engineering	B4
CAIP	International Conference on Computer Analysis of Images and Patterns	B2
CAiSE	International Conference on Advanced Information Systems Engineering	A2
CAMAD	IEEE Workshop on Computer-Aided Modeling Analysis and Design of Communication Links and Networks	B4
CAMP	International Workshop on Computer Architectures for Machine Perception	B3
CANPC	Workshop on Communication Architecture and Applications for Network-Based Parallel Computing	B4
CAOS	Workshop on Computer Architecture and Operating System co-design	B5
CASA	Computer Animation and Social Agents	B3
CASCON	Annual International Conference on Computer Science and Software Engineering	B1
CASES	International Conference on Compilers, Architecture, and Synthesis for Embedded Systems	A2
CASE_A	IEEE Conference on Automation Science and Engineering	B1
CASON	International Conference on Computational Aspects of Social Networks	B4
CATA	International Conference on Computers and their Applications	B3
CATCH	Cybersecurity Applications & Technology Conference For Homeland Security	B4
CATE	IASTED International Conference on Computers and Advanced Technology in Education	B4
CAV	International Conference on Computer Aided Verification	A1
CBA	Congresso Brasileiro de Automática	B4
CBEE	Congresso Brasileiro de Educação Especial	B5
CBIC	Congresso Brasileiro de Inteligência Computacional	B5
CBIS	Congresso Brasileiro de Informática em Saúde	B4
CBMI	International Workshop on Content-Based Multimedia Indexing	B3
CBMS	IEEE Symposium on Computer-Based Medical Systems	B1
CBSE	International Symposium Component-Based Software Engineering	B1
CC	International Conference on Compiler Construction	A2
CCA	IEEE International Conference on Control Applications	B3
CCA_A	International Conference on Computability and Complexity in Analysis	B3
CCC	IEEE Conference on Computational Complexity	B1
CCCG	Canadian Conference on Computational Geometry	B2
CCCT	International Conference on Computer, Communication and Control Technologies	B4
CCC_A	Colombian Computing Congress	B5
CCGrid	IEEE/ACM International Symposium on Cluster Computing and the Grid	A1
CCNC	IEEE Consumer Communications and Networking Conference	B1
CCO	International Conference on Cooperative Control and Optimization	B4
CCRTS	International Command and Control Research and Technology Symposium	B4
CCS	ACM Conference on Computer and Communications Security	A1
CCW	IEEE Annual Computer Communications Workshop	B3
CC_A	Creativity and Cognition Conference	B5
CDC	IEEE Conference on Decision and Control	B1
CDVE	Cooperative Design, Visualization and Engineering	B4
CEA	International Conference on Computer Engineering and Applications	B4
CEAS	International Conference on Email and Anti-Spam	B1
CEC	IEEE Conference on Commerce and Enterprise Computing	B1
CEC_A	IEEE Congress on Evolutionary Computation	A2
CELDA	Cognition and Exploratory Learning in Digital Age	B4
CENTERIS	International Conference on Enterprise Information Systems	B3
CERMA	Robotics and Automotive Mechanics Conference Electronics	B4
CETS	Conference on E-business Technology and Strategy	B5
CF	ACM International Conference on Computing Frontiers	B1
CGI	Computer Graphics International Conference	B1
CGIM	International Conference on Computer Graphics and Imaging	B4
CGIV	International Conference on Computer Graphics, Imaging and Visualization	B3
CGO	IEEE/ACM International Symposium on Code Generation and Optimization	A2
CHARME	Conference on Correct Hardware Design and Verification Methods	B1
CHES	Workshop on Cryptographic Hardware and Embedded Systems	A1
CHI	Conference on Human Factors in Computing Systems	A1
CIA	International Workshop on Cooperative Information Agents	B1
CIAA	International Conference on Implementation and Application of Automata	B3
CIAED	Congresso Internacional ABED de Educação a Distância	B4
CIAIE	Congresso Ibero-Americano de Informática Educativa	B4
CIARP	Iberoamerican Congress on Pattern Recognition	B2
CIBCB	IEEE Symposium on Computational Inteligence in Bioinformatics and Computational Biology	B3
CIBSE	Ibero-American Conference on Software Engineering	B4
CIC	International Conference on Communications in Computing	B3
CICC	IEEE Custom Integrated Circuits Conference	B2
CICLING	Conference on Inteligent Text Processing and Computational Linguistics	B1
CIDM	IEEE Symposium on Computational Inteligence and Data Mining	B3
CIDR	Biennial Conference on Innovative Data Systems Research	A2
CiE	Computability in Europe Conference	B2
CIG	IEEE Symposium on Computacional Inteligence and Games	B1
CIKM	International Conference on Information and Knowledge Management	A1
CIM	Conference on Interdisciplinary Musicology	B4
CIMCA	International Conference on Computational Inteligence for Modeling Control and Automation	B2
CIMSA	IEEE International Conference on Computational Inteligence for Measurement Systems and Applications	B4
CIMSIM	International Conference on Computational Inteligence, Modeling and Simulation	B4
CINTED	Ciclo de Palestras Novas Tecnologias na Educação	B5
CIRA	IEEE International Symposium on Computational Inteligence in Robotics and Automation	B1
CIRAS	International Conference on Computational Inteligence Robotics and Autonomous Systems	B4
CIS	International Conference on Computational Inteligence and Security	B3
CISched	IEEE Symposium on Computational Inteligence in Scheduling	B4
CISIS	International Conference on Complex Inteligent and Software Intensive Systems	B3
CISST	International Conference Image Science: Systems and Technology	B4
CISTI	Iberian Conference on Information Systems and Technologies	B4
CISW	International Conference on Computational Inteligence and Security Workshops	B4
CISWSN	Colective Inteligence in Semantic Web and Social Networks	B4
CIT	International Conference on Computer and Information Technology	B1
CITA	International Conference on IT in Asia	B5
CKC	Social and Colaborative Construction of Structured Knowledge	B4
CL	Corpus Linguistics Conference	B2
CLA	International Conference On Concept Lattices and Their Applications	B4
CLAIO	Congreso Latino-Iberoamericano de Investigación Operativa	B4
CLEF	Cross Language Evaluation Forum Workshop	B2
CLEI	Conferencia Latinoamericana de Informática	B4
CLIHC	Latin American Conference on Human-Computer Interaction	B5
CLIMA	International Workshop on Computational Logic in Multi-Agent Systems	B4
CLIP	Workshop on Cross-Language Information Processing	B5
CLOSER	International Conference on Cloud Computing and Services Science	B4
CLOUD	IEEE International Conference on Cloud Computing	B2
CLOUDCOM	IEEE International Conference on Cloud Computing Technology and Science	B2
CLUSTER	Cluster Computing Conference	A2
CMC	International Conference on Communications and Mobile Computing	B4
CMMR	International Symposium on Computer Music Modeling and Retrieval	B5
CMV	International Conference on Coordinated and Multiple Views in Exploratory Visualization	B2
CNMAC	Congresso Nacional de Matemática Aplicada e Computacional	B4
CNSM	International Conference on Network and Services Management	B4
CNSR	Annual Conference on Communication Networks and Services Research	B2
CoALa	Workshop on Contract Architectures and Languages	B5
COCOA	Conference on Combinatorial Optimization and Applications	B4
COCOON	International Computing and Combinatorics Conference	B1
CODAS	International Symposium on Cooperative Database Systems for Advanced Applications	B3
CODASPY	Data and Application Security and Privacy	B4
CODES+ISSS	International Conference on Hardware/Software Codesign and System Synthesis	A2
CogSci	Annual Conference of the Cognitive Science Society	B2
COIN	Workshop on Coordination Organization Institutions and Norms in Agent Systems	B4
COLING	International Conference on Computational Linguistics	A1
ColaborateCom	International Conference on Colaborative Computing: Networking, Applications and Worksharing	B3
CollECTeR	Colaborative Electronic Commerce Technology and Research	B4
COLT	Annual Conference on Computational Learning Theory	A2
COMMONSENSE	Symposium on Logical Formalizations of Commonsense Reasoning	B4
CompLife	International Symposium on Computational Life Science	B4
COMPSAC	Annual International Computer Software and Applications Conference	A2
CompSysTech	International Conference on Computer Systems and Technologies	B3
COMS	Conference on Optimization Methods and Software	A2
COMSWARE	ICST International Conference on Communication System software and Middleware	B2
CONCUR	International Conference on Concurrency Theory	A2
CONEXT	ACM International Conference on Emerging Networking Experiments and Technologies	B1
Conf-IRM	International Conference on Information Resources Management	B4
CONFENIS	IFIP International Conference on Research and Practical Issues of Enterprise Information Systems	B4
CONGRESS	World Congress on Privacy, Security, Trust and the Management of e-Business	B5
CoNLL	Conference on Natural Language Learning	B1
CONQUEST	Conquest International Conference on Quality Engineering in Software Technology	B5
CONTECSI	International Conference on Information Systems and Technology Management	B4
COOLCHIPS	IEEE Cool Chips	B5
COOP	International Conference on the Design of Cooperative Systems	B3
CoopIS	International Conference on Cooperative Information Systems	B1
COSIT	Conference on Spatial Information Theory	B1
CP	International Conference on Principles and Practice of Constraint Programming	A2
CPAIOR	International Conference o Integration of Artificial Inteligence and Operations Research	B2
CPM	Annual Symposium on Combinatorial Pattern Matching	B1
CRIWG	International Workshop on Groupware	B1
CROWNCOM	International Conference on Cognitive Radio Oriented Wireless Networks and Communications	B1
CRYPTO	Annual International Cryptology Conference	A1
CSB	IEEE Computational Systems Bioinformatics Conference	B1
CSC	International Conference on Scientific Computing	B4
CSCL	International Conference on Computer-Supported Colaborative Learning	B1
CSCLP	ERCIM Annual Workshop on Constraint Solving and Contraint Logic Programming	B4
CSCW	ACM Conference on Computer Supported Cooperative Work	A1
CSCWD	International Conference on Computer Supported Cooperative Work in Design	B2
CSD	Workshop on Critical Systems Development	B4
CSE	Conference on Computational Science & Engineering	B4
CSEDU	Internation Conference on Computer Supported Education	B4
CSEE	International Conference on Computer Science, Environment, Ecoinformatics, and Education	B5
CSEE&T	Conference on Software Engineering Education and Training	B2
CSFW	IEEE Computer Security Foundations Workshop	A1
CSL	Annual Conference on Computer Science Logic	B1
CSMR	European Conference on Software Maintenance and Reengineering	A2
CSNDSP	International Symposium on Communication Systems, Networks and Digital Signal Processing	B3
CSO	International Joint Conference on Computational Sciences and Optimization	B5
CSREA_EEE	International Conference on E-Learning, E-Business, Enterprise Information Systems, & E-Government	B4
CSSW	Conference on Social Semantic Web	B4
CTAC	Computational Techniques and Applications Conference	B4
CTC	Workshop Cybercrime and Trustworthy Computing	B5
CTW	Cologne-Twente Workshop on graphs and combinatorial optimization	B4
CVPR	IEEE Conference on Computer Vision and Pattern Recognition	A1
CyberGames	International Conference on Games Research and Development	B5
DAARC	Discourse Anaphora and Anaphor Resolution Coloquium	B4
DAC	Design Automation Conference	A1
DAFX	International Conference on Digital Audio Effects	B2
DAIS	IFIP International Conference on Distributed Applications and Interoperable Systems	B2
DALT	International Workshop on Declarative Agent Languages and Technologies	B4
DARS	International Symposium on Distributed Autonomous Robotic Systems	B1
DAS	International Workshop on Document Analysis Systems	B1
DASC	IEEE International Symposium on Dependable, Autonomic and Secure Computing	B3
DASD	Design Analysis and Simulation of Distributed Systems Symposium	B4
DASFAA	International Conference on Database Systems for Advanced Applications	B1
DATE	Design, Automation and Test in Europe Conference and Exhibition	A1
DaWaK	International Conference on Data Warehousing and Knowledge Discovery	B1
DB&IS	International Baltic Conference on Databases and Information Systems	B5
DBISP2P	International Workshop on Databases Information Systems and Peer-to-Peer Computing	B4
DBKDA	International Conference on Advances in Databases, Knowledge, and Data Applications	B4
DBPL	International Symposium on Database Programming	B2
DBTA	International Workshop on Database Technology and Applications	B4
DCAI	International Conference on Distributed Computing and Artificial Inteligence	B4
DCC	Data Compression Conference	A2
DCCS	Dependable Computing and Communications Symposium	B5
DCW	Workshop on Distributed Communities on the Web	B3
DDECS	IEEE Workshop on Design and Diagnostics of Electronic Circuits and Systems	B3
DEBS	International Conference on Distributed Event-Based Systems	B2
DeLFI	Fachtagung "e-Learning" der Geselschaft für Informatik	B4
DENVECT	IEEE International Workshop on Digital Entertainment, Networked Virtual Environments, and Creative Technology	B5
DEON	International Workshop on Deontic Logic in Computer Science	B3
DepCoS-RELCOMEX	International Conference on Dependability of Computer Systems	B3
DEPEND	International Conference on Dependability	B4
DesignCon	Design Conference	B3
DEXA	International Conference on Database and Expert Systems Applications	B1
DFT	IEEE International Symposium on Defect and Fault Tolerance in VLSI Systems	B1
DGCI	Digital Geometry for Computer Imagery	B2
DGO	International Conference on Digital Government Research	B1
DICTAP	International Conference on Digital Information and Communication Technology and Its Applications	B5
DIGITEL	IEEE International Conference on Digital Game and Inteligent Toy Enhanced Learning	B3
DIGRA	Digital Games Research Conference	B2
DIMVA	GI International Conference on Detection of Intrusions and Malware and Vulnerability Asessment	B1
DIPES	IFIP Working Conference on Distributed and Parallel Embedded Systems	B3
DIS	Designing Interative Systems Conference	A2
DISC	International Symposium on Distributed Computing	A2
DIWeb	International Workshop on Data Integration over the Web	B4
DL	International Workshop on Description Logics	B1
DLT	International Conference on Developments in Language Theory	B2
DMDW	Design and Management of Data Warehouses	B2
DMO	Data Mining and Optimization	B4
DMTCS	International Conference on Discrete Mathematics and Theoretical Computer Science	B2
DNA	International Meeting on DNA Computing	B4
DNIS	Databases in Networked Information Systems	B3
DOA	International Symposium on Distributed Objects and Applications	B2
DocEng	ACM Symposium on Document Engineering	B1
DOLAP	International Workshop on Data Warehousing and OLAP	B1
DRCN	International Workshop on Design of Reliable Communications Networks	B2
DRM	ACM Workshop on Digital Rights Management	B1
DS	International Conference on Discovery Science	B1
DS-RT	IEEE International Symposium on Distributed Simulation and Real Time Applications	B2
DSD	EUROMICRO Conference on Digital System Design	B1
DSDE	International Conference on Data Storage and Data Engineering	B4
DSL	Domain-Specific Languages for Software Engineering Conference	B4
DSM	Workshop on Domain-Specific Modeling	B3
DSN	International Conference on Dependable Systems and Networks	A1
DSOM	IFIP/IEEE International Workshop on Distributed Systems: Operations and Management	B1
DSP	International Conference on Digital Signal Processing	A2
DSS	IFIP International Conference on Decision Support Systems	B4
DSSNS	IEEE Workshop on Dependability and Security in Sensor Networks and Systems	B4
DUX	ACM Designing for User Experience Conference	B3
DYSPAN	IEEE Symposioum on New Frontiers in Dynamic Spectrum Access Networks	B2
E-ACTIVITIES	International Conference on E-Activities	B4
e-Learning	IADIS International Conference on e-Learning	B4
E-SCIENCE	Brazilian e-Science Workshop	B5
E2EMON	IEEE/IFIP Workshop on End-to-End Monitoring Techniques and Services	B3
E4MAS	International Workshop on Environments for Multiagent Systems	B4
EA	Workshop on Early Aspects	B3
EACL	Conference of the European Chapter of the Association for Computational Linguistics	A2
EAMT	Annual Conference of the European Association for Machine Translation	B3
EANN	International Conference on Engineering Applications of Neural Networks	B4
EASE	International Conference on Evaluation and Assessment in Software Engineering	B4
EATIS	Euro American Conference on Telematics and Information Systems	B4
EC	ACM Conference on Electronic Commerce	A1
EC-TEL	European Conference on Technology Enhanced Learning	B2
ECAI	European Conference on Artificial Inteligence	A2
ECAL	European Conference on Artificial Life	B1
ECBS	Annual IEEE International Conference and Workshop on the Engineering of Computer Based Systems	B1
ECC	European Control Conference	B1
ECCB	European Conference on Computational Biology	B1
ECCO	Conference of European Chapter on Combinatorial Optimization	B5
ECCTD	European Conference on Circuit Theory and Design	B3
ECCV	European Conference on Computer Vision	A1
ECIR	European Conference on Information Retrieval	A2
ECIS	European Conference on Information Systems	B1
ECKM	European Conference on Knowledge Management	B4
ECMDA	European Conference on Model Driven Architecture Foundations and Applications	B1
ECML	European Conference on Machine Learning	A2
ECOOP	European Conference on Object-oriented Programming	A1
ECOWS	IEEE European Conference on Web Services	B1
ECRTS	Euromicro Conference on Real-Time Systems	A2
ECSA	European Conference on Software Architecture	B3
ECSCW	European Conference on Computer Supported Cooperative Work	B1
ECSQARU	European Conference on Symbolic and Quantitative Approaches to Reasoning with Uncertainty	B1
ECWeb	International Conference on Electronic Commerce and Web Technology	B1
EC_A	IADIS International Conference e-Commerce	B4
ED-MEDIA	World Conference on Educational Multimedia Hypermedia and Telecommunications	B3
EDBT	International Conference on Extending Database Technology	A2
EDCC	European Dependable Computing Conference	B2
EDM	International Conference on Educational Data Mining	B3
EDOC	IEEE International Enterprise Distributed Object Computing Conference	A2
EDOCW	IEEE International Enterprise Distributed Object Computing Conference Workshops	B3
EDUCON	IEEE Engineering Education Conference	B4
Edutainment	International Conference on E-learning and Games	B3
EEE	IEEE International Conference on e-Technology e-Commerce and e- Service	B1
EGC	European Grid Conference	B2
EGSR	Eurographics Symposium on Rendering	B1
EGVE	Eurographics Workshop on Virtual Environments	B4
EICS	The ACM SIGCHI Symposium on Engineering Interactive Computing Systems	B1
EISWT	International Conference on Enterprise Information Systems and Web Technologies	B4
EIT	IEEE International Conference on Electro/Information Technology	B4
EJC	European-Japanese Conference on Information Modeling and Knowledge Bases	B4
EKAW	International Conference on Knowledge Engineering and Knowledge Management	B1
EKNOW	International Conference on Information, Process, and Knowledge Management	B4
ELAVIO	Latin American Operations Research Summer School	B5
ELC	Encontro de Linguística de Corpus	B5
ELearn	World Conference on E-Learning in Corporate, Government, Healthcare & Higher Education	B3
ELML	International Conference on Mobile, Hybrid, and On-line Learning	B4
EMBC	International Conference of the IEEE Engineering in Medicine and Biology Society	B1
EMicro	South Microelectronics School	B5
EMMSAD	Exploring Modeling Methods in Systems Analysis and Design	B4
Emnets	Workshop on Embedded Networked Sensors	B2
EMNLP	Conference on Empirical Methods in Natural Language Processing	A1
EMO	International Conference on Evolutionary Multi-Criterion Optimization	A2
EMS	EMS Network Conference	B5
EMSOFT	ACM Conference on Embedded Software	A2
ENADI	Encontro de Administração da Informação	B5
ENASE	International Conference on Evaluation of Novel Approaches to Software Engineering	B4
Engopt	International Conference on Engineering Optimization	B4
ENIA	Encontro Nacional de Intelig	B4
ENLG	European Workshop on Natural Language Generation	B4
ENRI	Encontro de Robótica Inteligente	B4
ENTER	International Conference on Information and Communication Technologies in Tourism	B2
EOMAS	Enterprise and Organizational Modeling and Simulation	B5
EON	Workshop on Evaluation of Ontology-based Tools	B3
ePart	International Conference on Electronic Participation	B4
EPIA	Portuguese Conference on Artiificial Inteligence/Encontro Português de Inteligência Artificial	B2
EPIO	Escuela de Perfeccionamiento en Investigación Operativa	B5
EpiRob	International Conference on Epigenetic Robotics	B4
ER	International Conference on Conceptual Modeling	A2
ERAD	Escola Regional de Alto Desempenho	B5
ERSA	International Conference on Engineering of Reconfigurable Systems and Algorithms	B3
ESA	European Symposium on Algorithms	A2
ESAIR	Exploiting Semantic Annotations in Information Retrieval	B4
ESANN	European Symposium on Artificial Neural Networks	B1
ESAW	International Workshop on Engineering Societies in the Agents World	B3
eScience	IEEE International Conference on e-science and Grid Computing	B1
ESEC/FSE	European Software Engineering Conference and the ACM SIGSOFT Symposium on the Foundations of Software Engineering	A2
ESELAW	Experimental Software Engineering Latin American Workshop	B4
ESEM	International Symposium on Empirical Software Engineering and Measurement	A2
ESM	European Simulation Multiconference	B2
ESOP	European Symposium on Programming ETAPS)	A2
ESORICS	European Symposium on Research in Computer Security	A2
ESS	European Simulation Symposium	B3
ESSCIRC	European Solid-State Circuits Conference	B1
ESSDERC	European Solid-State Device Research Conference	B3
